Name,Storage_details,Screen_size,Camera_details,Battery_details,Processor,Price in Rupees
"Note 8 Pro (Electric blue, 64 GB)",6 GB RAM | 64 GB ROM |,16.59 cm (6.53 inch) Display,64MP Rear Camera,4500 mAh Battery,1 Year,"16,990"
"Note 8 (Cosmic Purple, 128 GB)",6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Display,48MP Rear Camera,4000 mAh Battery,1 year,"15,849"
"Note 8 Pro (Electric Blue, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"16,990"
"Redmi Note 8 (Space Black, 32 GB)",3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"11,405"
"Redmi Note 8 (Neptune Blue, 32 GB)",3 GB RAM | 32 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"10,990"
"Redmi Note 8 Pro (Gamma Green, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"16,975"
"Redmi Note 8 Pro (Halo White, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"16,755"
"Redmi Note 8 (Space Black, 128 GB)",6 GB RAM | 128 GB ROM |,16.0 cm (6.3 inch) Full HD+ Display,48MP + 8MP | 13MP + 13MP Dual Front Camera,4000 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"14,670"
"Redmi Note 8 Pro (Shadow Black, 64 GB)",6 GB RAM | 64 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"15,995"
"Redmi Note 8 Pro (Halo White, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 128 GB,16.59 cm (6.53 inch) Full HD+ Display,64MP + 8MP,4500 mAh Battery,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,"16,530"
